onset	duration	trial_type	value	sample	stimulus
5.059	225.6	onset	162	5059	1
229.667	0	offset	167	229667	
384.668	321.3	onset	162	384668	2
704.963	0	offset	167	704963	
764.008	214.4	onset	162	764008	3
977.416	0	offset	167	977416	
1017.838	211.1	onset	162	1017838	4
1227.936	0	offset	167	1227936	
1305.32	236.4	onset	162	1305320	5
1540.727	0	offset	167	1540727	
1588.555	271.0	onset	162	1588555	6
1859.82	0	offset	167	1859820	
1974.416	232.7	onset	162	1974416	7
2207.382	0	offset	167	2207382	
2273.983	251.1	onset	162	2273983	8
2524.084	0	offset	167	2524084	
2597.289	332.4	onset	162	2597289	9
2928.701	0	offset	167	2928701	
3004.029	233.0	onset	162	3004029	10
3236.025	0	offset	167	3236025	
3323.556	285.9	onset	162	3323556	11b
3529.073	0	offset	167	3529073	
